sqm,bedrooms,bathrooms,receptions,lat,lng,crime_antiSocial,crime_theft,crime_burglary,crime_criminalDamage,crime_drugs,crime_weaponPossession,crime_publicOrder,crime_robbery,crime_vehicle,crime_other,num_pois,num_schools,avg_distance_all,min_distance_school,sold_year,sqm_per_bedroom,sqm_per_room,total_crime,total_rooms,city_average_price,price_per_sqm,city_avg_price_per_sqm,property_type_bungalow property,property_type_detached bungalow,property_type_detached house,property_type_end terrace house,property_type_flat,property_type_mid terrace bungalow,property_type_mid terrace house,property_type_semi-detached bungalow,property_type_semi-detached house,property_type_terrace property,tenure_feudal,tenure_freehold,tenure_leasehold,epc_rating_b,epc_rating_c,epc_rating_d,epc_rating_e,epc_rating_f,avg_price,target
162.0,4.0,2.0,2,51.4500989,0.1356586,39.0,101.0,7.0,21.0,16.0,3.0,20.0,4.0,29.0,4.0,4,1,0.5057539715996082,0.0392442506760518,2025,40.5,20.25,319.0,8.0,650000.0,4012.3456790123455,4012.3456790123455,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,545000.0,650000
74.0,2.0,1.0,1,51.4539,0.13078,34.0,105.0,10.0,21.0,16.0,4.0,18.0,5.0,31.0,1.0,4,2,0.6495093155813797,0.3325367107218841,2025,37.0,18.5,319.0,4.0,360000.0,4864.864864864865,4864.864864864865,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,483333.3333333333,360000
98.0,3.0,1.0,2,51.47575,0.16543,41.0,42.0,8.0,17.0,6.0,3.0,13.0,3.0,24.0,4.0,4,1,0.4215923260253867,0.2031655628380259,2025,32.666666666666664,16.333333333333332,265.0,6.0,422000.0,4306.122448979592,4306.122448979592,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,468000.0,422000
130.0,3.0,1.0,2,51.440598975,0.093036696875,34.0,38.0,8.0,17.0,4.0,1.0,8.0,1.0,19.0,1.0,4,1,0.6128103872136721,0.4560964385364471,2025,43.333333333333336,21.666666666666668,180.0,6.0,593500.0,4807.692307692308,4647.442333436309,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,499400.0,625000
195.0,5.0,2.0,2,51.42989488181818,0.0976355818181818,34.0,41.0,9.0,10.0,2.0,1.0,8.0,4.0,20.0,3.0,4,2,0.4842840088880935,0.0695652245697625,2025,39.0,21.666666666666668,181.0,9.0,593500.0,5743.589743589743,4647.442333436309,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,602833.3333333334,1120000
72.0,1.0,1.0,1,51.4264002,0.101044,30.0,43.0,7.0,9.0,3.0,1.0,7.0,4.0,17.0,2.0,4,2,0.4920772755855802,0.2790466494981806,2025,72.0,24.0,172.0,3.0,593500.0,3472.222222222222,4647.442333436309,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,552428.5714285715,250000
50.0,2.0,1.0,1,51.40758,-0.02352,39.0,40.0,21.0,8.0,6.0,1.0,10.0,3.0,34.0,4.0,4,1,0.4055255575361762,0.4257665460336634,2025,25.0,12.5,204.0,4.0,378500.0,8300.0,6592.857142857143,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,535250.0,415000
93.0,3.0,1.0,1,51.41109,0.0348199,25.0,64.0,11.0,15.0,7.0,1.0,13.0,2.0,17.0,6.0,4,1,0.3756730698564135,0.1066978264497832,2025,31.0,18.6,213.0,5.0,499375.0,6451.612903225807,5613.274775700294,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,542444.4444444445,600000
75.0,2.0,1.0,1,51.40973,0.01567,62.0,98.0,15.0,29.0,18.0,2.0,24.0,3.0,33.0,9.0,4,1,0.3087588769554551,0.4201883313014495,2025,37.5,18.75,392.0,4.0,499375.0,5033.333333333333,5613.274775700294,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,525950.0,377500
82.0,3.0,1.0,2,51.42159,0.07044,23.0,26.0,6.0,16.0,6.0,1.0,4.0,2.0,13.0,3.0,4,1,0.6900321623624284,0.25977801136985,2025,27.333333333333332,13.666666666666666,142.0,6.0,692500.0,7500.0,5734.5360824742265,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,534045.4545454546,615000
194.0,5.0,2.0,2,51.42156,0.04972,36.0,38.0,9.0,23.0,5.0,2.0,10.0,3.0,21.0,1.0,4,1,0.5623877446555864,0.2797914633540125,2025,38.8,21.555555555555557,213.0,9.0,692500.0,3969.0721649484535,5734.5360824742265,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,553708.3333333334,770000
56.0,2.0,1.0,1,51.39973645555556,0.1213904,47.0,39.0,9.0,17.0,6.0,1.0,11.0,2.0,12.0,3.0,4,1,0.85231841134804,0.3390040108081305,2025,28.0,14.0,198.0,4.0,464285.71428571426,8928.57142857143,5130.754420017174,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,549576.9230769231,500000
84.0,3.0,1.0,1,51.40545,0.10958,53.0,47.0,10.0,17.0,6.0,1.0,10.0,1.0,16.0,4.0,4,1,0.8112160516427811,0.3843648007697546,2025,28.0,16.8,224.0,5.0,464285.71428571426,4880.952380952381,5130.754420017174,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,539607.1428571428,410000
105.0,3.0,1.0,1,51.40020509,0.12246982,46.0,39.0,8.0,17.0,5.0,1.0,11.0,2.0,12.0,3.0,4,1,0.884142406314312,0.3150414256864908,2025,35.0,21.0,192.0,5.0,464285.71428571426,4047.6190476190477,5130.754420017174,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,531966.6666666666,425000
111.0,3.0,2.0,1,51.3871596025,0.1056293525,69.0,63.0,13.0,20.0,8.0,1.0,19.0,6.0,33.0,4.0,4,1,0.5969673837896061,0.3493599771148989,2025,37.0,18.5,314.0,6.0,464285.71428571426,4864.864864864865,5130.754420017174,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,532468.75,540000
84.0,3.0,1.0,1,51.38479,0.10206,62.0,61.0,13.0,18.0,6.0,1.0,18.0,5.0,31.0,3.0,4,1,0.5995385461405393,0.3655024174632645,2025,28.0,16.8,291.0,5.0,464285.71428571426,5119.047619047619,5130.754420017174,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,526441.1764705882,430000
118.0,3.0,1.0,1,51.395465475,0.0975993214285714,54.0,43.0,12.0,14.0,6.0,1.0,13.0,3.0,20.0,3.0,4,1,0.5250435053568411,0.3076109210025948,2025,39.333333333333336,23.6,230.0,5.0,464285.71428571426,4194.9152542372885,5130.754420017174,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,524694.4444444445,495000
116.0,3.0,1.0,1,51.39572279,0.097619635,54.0,43.0,12.0,14.0,6.0,1.0,13.0,3.0,20.0,3.0,4,1,0.5351179177804746,0.3394764491059711,2025,38.666666666666664,23.2,229.0,5.0,464285.71428571426,3879.310344827586,5130.754420017174,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,520763.15789473685,450000
86.0,2.0,2.0,1,51.36447,-0.08709,128.0,110.0,35.0,36.0,45.0,6.0,39.0,19.0,33.0,11.0,4,2,0.4150487819602272,0.2759370080977093,2025,43.0,17.2,610.0,5.0,354000.0,4418.604651162791,4227.087643475844,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,513725.0,380000
57.0,2.0,1.0,1,51.3713049,-0.101957,227.0,239.0,43.0,55.0,78.0,9.0,72.0,27.0,64.0,13.0,4,1,0.4513796908352098,0.2386382462730155,2025,28.5,14.25,1106.0,4.0,354000.0,4122.80701754386,4227.087643475844,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,500452.38095238095,235000
179.0,6.0,1.0,1,51.39967,-0.10475,88.0,75.0,25.0,38.0,35.0,5.0,47.0,20.0,51.0,12.0,4,1,0.4633715876764073,0.3667731479845204,2025,29.833333333333332,22.375,596.0,8.0,327666.6666666667,2374.3016759776538,3418.884872384708,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,496080.0,425000
90.0,2.0,1.0,2,51.39043,-0.10696,131.0,111.0,30.0,42.0,50.0,5.0,59.0,22.0,72.0,13.0,4,1,0.5073557852298824,0.3046290823093135,2025,45.0,18.0,804.0,5.0,327666.6666666667,4000.0,3418.884872384708,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,490846.1538461539,360000
63.0,2.0,1.0,1,51.48416,0.08021,130.0,116.0,22.0,31.0,37.0,3.0,46.0,13.0,50.0,11.0,4,1,0.3249089832674058,0.1474297357308319,2025,31.5,15.75,669.0,4.0,392500.0,6230.158730158731,6230.158730158731,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,475683.2413793103,392500
78.0,3.0,1.0,2,51.59764,-0.27565,99.0,140.0,34.0,13.0,18.0,2.0,24.0,12.0,42.0,10.0,4,2,0.4558444789119044,0.2462076080005269,2025,26.0,13.0,525.0,6.0,603750.0,6410.25641025641,5555.817094774548,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,500936.17391304346,500000
154.0,4.0,1.0,1,51.58403,-0.34377,146.0,151.0,25.0,21.0,37.0,1.0,29.0,21.0,38.0,9.0,4,2,0.3563604364992817,0.1518567297669112,2025,38.5,25.666666666666668,613.0,6.0,536250.0,4610.38961038961,5259.071997410578,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,505384.3404255319,710000
128.0,4.0,2.0,2,51.5548,-0.37562,41.0,51.0,44.0,26.0,9.0,1.0,17.0,8.0,34.0,1.0,4,1,0.4055548108810173,0.1576183228321601,2025,32.0,16.0,310.0,8.0,505000.0,3906.25,5150.427018633541,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,505272.1666666667,500000
85.0,3.0,1.0,2,51.57438,0.1747199,89.0,143.0,9.0,24.0,34.0,2.0,34.0,19.0,34.0,10.0,4,1,0.5734497814435571,0.2967291756703352,2025,28.333333333333332,14.166666666666666,511.0,6.0,436428.5714285714,5647.058823529412,4914.057163183131,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,504756.4081632653,480000
168.0,4.0,2.0,3,51.59063,0.19657,53.0,53.0,5.0,20.0,13.0,1.0,11.0,11.0,17.0,3.0,4,1,0.7494447118158082,0.3900883663778532,2025,42.0,18.666666666666668,247.0,9.0,436428.5714285714,5565.476190476191,4914.057163183131,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,513361.28,935000
124.0,2.0,1.0,1,51.57569,0.1628699,97.0,137.0,7.0,18.0,32.0,2.0,28.0,19.0,33.0,13.0,4,2,0.7384362354583607,0.1031696418540722,2025,62.0,31.0,477.0,4.0,436428.5714285714,4233.870967741936,4914.057163183131,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,513589.49019607843,525000
53.0,1.0,1.0,1,51.5807039,0.1658238,81.0,126.0,11.0,18.0,33.0,2.0,28.0,18.0,32.0,10.0,4,2,0.8266842206078998,0.3603509659401594,2025,53.0,17.666666666666668,451.0,3.0,436428.5714285714,4905.66037735849,4914.057163183131,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,508712.76923076925,260000
108.0,3.0,1.0,1,51.53569,-0.42537,35.0,18.0,15.0,17.0,8.0,1.0,6.0,3.0,16.0,2.0,4,1,0.9031289333262498,0.0878247307412212,2025,36.0,21.6,174.0,5.0,551166.6666666666,5333.333333333333,5103.395061728395,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,509982.3396226415,576000
61.0,2.0,1.0,1,51.5449509,-0.4816672,86.0,67.0,17.0,23.0,11.0,2.0,31.0,4.0,31.0,3.0,4,2,0.3098678680366037,0.2718781899829993,2025,30.5,15.25,360.0,4.0,391000.0,4672.131147540984,5268.502618471154,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,505816.0,285000
58.0,1.0,1.0,1,51.53607,-0.45826,43.0,37.0,11.0,25.0,15.0,1.0,16.0,1.0,34.0,5.0,4,1,0.7689608199722993,0.4308998524740515,2025,58.0,19.333333333333332,318.0,3.0,391000.0,6086.206896551724,5268.502618471154,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,503037.5272727273,353000
94.0,3.0,1.0,1,51.50556,-0.47651,84.0,52.0,10.0,17.0,18.0,1.0,17.0,6.0,29.0,5.0,4,1,0.565370515006425,0.163083994403931,2025,31.333333333333332,18.8,332.0,5.0,460000.0,4521.276595744681,4663.550919231564,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,501644.0,425000
65.0,2.0,1.0,2,51.44478,-0.41641,84.0,60.0,17.0,31.0,12.0,1.0,20.0,12.0,16.0,3.0,4,1,0.6253473451822606,0.3142606764930307,2025,32.5,13.0,359.0,5.0,400000.0,6384.615384615385,5439.558650402024,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,500123.9298245614,415000
148.0,4.0,2.0,1,51.47922,-0.33231,57.0,25.0,8.0,24.0,7.0,1.0,18.0,1.0,32.0,4.0,4,1,0.3423243525700534,0.2273550355983556,2025,37.0,21.142857142857142,273.0,7.0,513750.0,4459.459459459459,4931.935612082671,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,502880.4137931034,660000
93.0,3.0,1.0,2,51.36024,-0.28949,16.0,15.0,5.0,20.0,6.0,2.0,12.0,1.0,6.0,2.0,4,1,0.6174397705726681,0.4842028879841724,2025,31.0,15.5,135.0,6.0,559166.6666666666,5456.989247311828,4871.861369061754,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,529576.0666666667,507500
178.0,4.0,4.0,0,51.36294,-0.2998199,26.0,11.0,7.0,18.0,6.0,1.0,9.0,1.0,11.0,1.0,4,1,0.2898422740492399,0.2476478168744531,2025,44.5,22.25,132.0,8.0,559166.6666666666,4101.123595505618,4871.861369061754,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,532861.7049180327,730000
87.0,2.0,1.0,0,51.36529,-0.30511,29.0,11.0,9.0,18.0,6.0,1.0,11.0,1.0,11.0,1.0,4,1,0.40195983012799,0.3004978250579118,2025,43.5,29.0,146.0,3.0,559166.6666666666,5057.471264367816,4871.861369061754,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,531363.9354838709,440000
135.0,5.0,2.0,2,51.41834,-0.28282,69.0,64.0,10.0,17.0,25.0,2.0,31.0,3.0,19.0,8.0,4,2,0.3984632966273835,0.1092469866231209,2025,27.0,15.0,331.0,9.0,564487.5,6000.0,7076.568223443223,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,535786.7301587302,810000
161.0,3.0,3.0,2,51.38962,-0.27668,35.0,33.0,16.0,11.0,7.0,3.0,7.0,3.0,14.0,2.0,4,2,0.4792759177357358,0.0172499495135906,2025,53.666666666666664,20.125,188.0,8.0,483550.0,5354.037267080746,5807.796922488257,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,540883.8125,862000
150.0,4.0,1.0,2,51.38348,-0.25794,11.0,30.0,3.0,6.0,3.0,1.0,8.0,1.0,9.0,3.0,4,2,0.2712049904697193,0.0869906071231507,2025,37.5,21.428571428571427,116.0,7.0,742500.0,6400.0,6217.241379310344,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,547331.7538461538,960000
40.0,1.0,1.0,1,51.425,0.01322,71.0,54.0,7.0,19.0,21.0,3.0,18.0,8.0,49.0,4.0,4,2,0.4178246833414733,0.1147724973405312,2025,40.0,13.333333333333334,347.0,3.0,499375.0,6000.0,5613.274775700294,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,546187.52,240000
110.0,3.0,1.0,1,51.55277,0.10431,93.0,63.0,21.0,23.0,29.0,1.0,19.0,19.0,51.0,5.0,4,2,0.626421168706007,0.2927879546821562,2025,36.666666666666664,22.0,485.0,5.0,488333.3333333333,4681.818181818182,4109.3630186997525,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,544225.4382022471,515000
164.0,4.0,2.0,2,51.55368,0.09879,109.0,84.0,24.0,22.0,33.0,1.0,29.0,13.0,59.0,7.0,4,2,0.5983809563679362,0.3202587047579635,2025,41.0,20.5,569.0,8.0,488333.3333333333,4268.292682926829,4109.3630186997525,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,545956.2666666667,700000
127.0,3.0,2.0,2,51.55336,0.097,112.0,90.0,23.0,19.0,33.0,1.0,28.0,11.0,59.0,8.0,4,2,0.6078988994941417,0.3082762029746281,2025,42.333333333333336,18.142857142857142,570.0,7.0,488333.3333333333,5314.96062992126,4109.3630186997525,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,547374.3296703297,675000
76.0,2.0,1.0,1,51.43267,-0.37865,39.0,32.0,9.0,18.0,9.0,1.0,5.0,2.0,17.0,1.0,4,1,0.8056408242908291,0.38223420201026,2025,38.0,19.0,181.0,4.0,373500.0,5934.210526315789,5658.014354066985,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,546326.7826086957,451000
59.0,2.0,1.0,1,51.58659,-0.01766,171.0,191.0,45.0,51.0,59.0,7.0,34.0,23.0,87.0,10.0,4,1,0.2253524144868965,0.1619732133589835,2025,29.5,14.75,851.0,4.0,485000.0,8220.338983050848,8220.338983050848,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,545667.3548387097,485000
70.0,2.0,1.0,1,51.4070938,-0.0303183,45.0,46.0,20.0,10.0,10.0,2.0,12.0,3.0,38.0,3.0,4,1,0.3255607389843315,0.2777491538353515,2025,35.0,17.5,243.0,4.0,378500.0,4885.714285714285,6592.857142857143,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,607725.5172413794,342000
76.0,2.0,1.0,1,51.536,0.09242,121.0,111.0,27.0,26.0,33.0,3.0,24.0,29.0,42.0,7.0,4,1,0.3371322920317222,0.0629127817794082,2025,38.0,19.0,626.0,4.0,361666.6666666667,4473.684210526316,4336.950912275617,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,600850.0840336134,340000
71.0,2.0,1.0,1,51.54,0.15192,59.0,61.0,16.0,26.0,24.0,2.0,16.0,15.0,40.0,2.0,4,2,0.2691397805441223,0.0882795610882446,2025,35.5,17.75,378.0,4.0,412500.0,5070.422535211268,4488.992780210676,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,598843.0,360000
